organism;checkin;atb;diameter 6h;diameter 8h;diameter 12h;diameter 18h;phenotypes
Staphylococcus aureus;22103;E_15;6;6;7;6;
Staphylococcus aureus;22103;FD_10;;22;30;31;";FA wild-type"
Staphylococcus aureus;22103;FEP_30;;;;;";PBP2a"
Staphylococcus aureus;22103;FOX_30;;18;19;17;";PBP2a"
Staphylococcus aureus;22103;K_30;;;9;6;";AG multiple mechanisms"
Staphylococcus aureus;22103;LEV_5;;11;13;12;";QL high level resistance"
Staphylococcus aureus;22103;LZD_10;;22;29;29;";OXD wild-type"
Staphylococcus aureus;22103;MEM_10;;;;;";PBP2a"
Staphylococcus aureus;22103;MH_30;;25;28;29;";TET wild-type"
Staphylococcus aureus;22103;NA_30;;;;;";QL high level resistance"
Staphylococcus aureus;22103;NOR_10;6;6;6;6;";QL high level resistance"
Staphylococcus aureus;22103;P_1;;17;16;14;";PBP2a"
Staphylococcus aureus;22103;RD_5;;31;37;39;";RIF wild-type"
Staphylococcus aureus;22103;SXT_25;;11;13;9;
Staphylococcus aureus;22103;TE_30;;22;27;28;";TET wild-type"
Staphylococcus aureus;22103;TEC_30;;15;15;14;
Staphylococcus aureus;22103;TEM_30;;;;;";PBP2a"
Staphylococcus aureus;22103;TGC_15;;20;23;23;";TET wild-type"
Staphylococcus aureus;22103;TOB_10;;12;15;11;";AG multiple mechanisms"
Staphylococcus aureus;22103;TZP_36;;;;;";PBP2a"
Klebsiella pneumoniae;30055;AK_30;21;21;21;22;";AG wild-type"
Klebsiella pneumoniae;30055;AMC_30;20;21;21;21;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;30055;AMP_10;12;12;11;10;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;30055;CIP_5;24;25;25;25;";QL low level resistance"
Klebsiella pneumoniae;30055;CN_10;19;19;20;20;";AG wild-type"
Klebsiella pneumoniae;30055;CPD_10;22;23;23;24;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;30055;CRO_30;25;26;27;28;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;30055;CXM_30;17;17;18;16;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;30055;DA_2;;;;;
Klebsiella pneumoniae;30055;E_15;;;;;
Klebsiella pneumoniae;30055;FD_10;;;;;
Klebsiella pneumoniae;30055;FEP_30;27;28;29;29;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;30055;FOX_30;17;17;18;18;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;30055;K_30;20;21;22;22;";AG wild-type"
Klebsiella pneumoniae;30055;LEV_5;22;23;23;23;";QL low level resistance"
Klebsiella pneumoniae;30055;LZD_10;;;;;
Klebsiella pneumoniae;30055;MEM_10;28;29;29;29;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;30055;MH_30;9;6;6;6;";RND pump"
Klebsiella pneumoniae;30055;NA_30;17;17;10;11;";QL low level resistance"
Klebsiella pneumoniae;30055;NOR_10;21;21;22;22;";QL low level resistance"
Klebsiella pneumoniae;30055;P_1;;;;;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;30055;RD_5;;;;;
Klebsiella pneumoniae;30055;SXT_25;18;13;11;11;
Klebsiella pneumoniae;30055;TE_30;6;6;6;6;";RND pump"
Klebsiella pneumoniae;30055;TEC_30;;;;;
Klebsiella pneumoniae;30055;TEM_30;19;19;19;19;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;30055;TGC_15;15;15;15;15;";RND pump"
Klebsiella pneumoniae;30055;TOB_10;19;19;20;20;";AG wild-type"
Klebsiella pneumoniae;30055;TZP_36;19;19;20;20;";BSBL or other beta-lactamase"
Escherichia coli;30062;AK_30;20;21;21;22;";APH-3"
Escherichia coli;30062;AMC_30;16;16;16;16;";CTX"
Escherichia coli;30062;AMP_10;6;6;6;6;";CTX"
Escherichia coli;30062;CIP_5;28;29;30;30;";QL wild-type"
Escherichia coli;30062;CN_10;19;20;20;21;";APH-3"
Escherichia coli;30062;CPD_10;6;6;6;6;";CTX"
Escherichia coli;30062;CRO_30;11;11;9;9;";CTX"
Escherichia coli;30062;CXM_30;6;6;6;6;";CTX"
Escherichia coli;30062;DA_2;;;;;
Escherichia coli;30062;E_15;;;;;
Escherichia coli;30062;FD_10;;;;;
Escherichia coli;30062;FEP_30;18;17;17;17;";CTX"
Escherichia coli;30062;FOX_30;20;22;22;22;";CTX"
Escherichia coli;30062;K_30;6;6;6;6;";APH-3"
Escherichia coli;30062;LEV_5;26;28;28;28;";QL wild-type"
Escherichia coli;30062;LZD_10;;;;;
Escherichia coli;30062;MEM_10;28;29;29;30;";CTX"
Escherichia coli;30062;MH_30;15;14;12;11;";tetB / tetM"
Escherichia coli;30062;NA_30;21;21;20;20;";QL wild-type"
Escherichia coli;30062;NOR_10;25;26;27;28;";QL wild-type"
Escherichia coli;30062;P_1;;;;;";CTX"
Escherichia coli;30062;RD_5;;;;;
Escherichia coli;30062;SXT_25;26;26;26;26;
Escherichia coli;30062;TE_30;6;6;6;6;";tetB / tetM"
Escherichia coli;30062;TEC_30;;;;;
Escherichia coli;30062;TEM_30;21;21;22;22;";CTX"
Escherichia coli;30062;TGC_15;21;22;22;22;";tetB / tetM"
Escherichia coli;30062;TOB_10;19;19;19;19;";APH-3"
Escherichia coli;30062;TZP_36;20;21;21;21;";CTX"
Klebsiella pneumoniae;30135;AK_30;21;21;21;22;";AG wild-type"
Klebsiella pneumoniae;30135;AMC_30;17;17;15;14;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;30135;AMP_10;6;6;6;6;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;30135;CIP_5;20;21;21;21;";QL high level resistance"
Klebsiella pneumoniae;30135;CN_10;20;20;20;21;";AG wild-type"
Klebsiella pneumoniae;30135;CPD_10;20;21;21;21;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;30135;CRO_30;25;25;26;27;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;30135;CXM_30;13;14;14;14;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;30135;DA_2;;;;;
Klebsiella pneumoniae;30135;E_15;;;;;
Klebsiella pneumoniae;30135;FD_10;;;;;
Klebsiella pneumoniae;30135;FEP_30;25;26;26;27;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;30135;FOX_30;13;13;15;16;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;30135;K_30;21;21;21;22;";AG wild-type"
Klebsiella pneumoniae;30135;LEV_5;18;18;19;19;";QL high level resistance"
Klebsiella pneumoniae;30135;LZD_10;;;;;
Klebsiella pneumoniae;30135;MEM_10;27;28;29;29;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;30135;MH_30;10;9;6;6;";RND pump"
Klebsiella pneumoniae;30135;NA_30;10;9;9;6;";QL high level resistance"
Klebsiella pneumoniae;30135;NOR_10;17;17;18;18;";QL high level resistance"
Klebsiella pneumoniae;30135;P_1;;;;;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;30135;RD_5;;;;;
Klebsiella pneumoniae;30135;SXT_25;6;6;6;6;
Klebsiella pneumoniae;30135;TE_30;6;6;6;6;";RND pump"
Klebsiella pneumoniae;30135;TEC_30;;;;;
Klebsiella pneumoniae;30135;TEM_30;18;19;19;19;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;30135;TGC_15;13;12;13;13;";RND pump"
Klebsiella pneumoniae;30135;TOB_10;19;20;20;20;";AG wild-type"
Klebsiella pneumoniae;30135;TZP_36;16;17;17;17;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;30196;AK_30;22;22;23;24;";AAC-2/AAC-3"
Klebsiella pneumoniae;30196;AMC_30;18;18;19;19;";CTX"
Klebsiella pneumoniae;30196;AMP_10;6;6;6;6;";CTX"
Klebsiella pneumoniae;30196;CIP_5;18;18;19;19;";QL high level resistance"
Klebsiella pneumoniae;30196;CN_10;9;6;6;6;";AAC-2/AAC-3"
Klebsiella pneumoniae;30196;CPD_10;11;9;8;6;";CTX"
Klebsiella pneumoniae;30196;CRO_30;15;14;12;12;";CTX"
Klebsiella pneumoniae;30196;CXM_30;6;6;6;6;";CTX"
Klebsiella pneumoniae;30196;DA_2;;;;;
Klebsiella pneumoniae;30196;E_15;;;;;
Klebsiella pneumoniae;30196;FD_10;;;;;
Klebsiella pneumoniae;30196;FEP_30;22;22;22;22;";CTX"
Klebsiella pneumoniae;30196;FOX_30;19;20;19;17;";CTX"
Klebsiella pneumoniae;30196;K_30;19;19;19;19;";AAC-2/AAC-3"
Klebsiella pneumoniae;30196;LEV_5;17;17;18;18;";QL high level resistance"
Klebsiella pneumoniae;30196;LZD_10;;;;;
Klebsiella pneumoniae;30196;MEM_10;28;30;30;30;";CTX"
Klebsiella pneumoniae;30196;MH_30;16;16;15;14;";TET wild-type"
Klebsiella pneumoniae;30196;NA_30;15;15;15;10;";QL high level resistance"
Klebsiella pneumoniae;30196;NOR_10;16;16;17;17;";QL high level resistance"
Klebsiella pneumoniae;30196;P_1;;;;;";CTX"
Klebsiella pneumoniae;30196;RD_5;;;;;
Klebsiella pneumoniae;30196;SXT_25;25;25;24;23;
Klebsiella pneumoniae;30196;TE_30;21;20;20;20;";TET wild-type"
Klebsiella pneumoniae;30196;TEC_30;;;;;
Klebsiella pneumoniae;30196;TEM_30;21;21;22;21;";CTX"
Klebsiella pneumoniae;30196;TGC_15;16;16;16;16;";TET wild-type"
Klebsiella pneumoniae;30196;TOB_10;14;14;13;13;";AAC-2/AAC-3"
Klebsiella pneumoniae;30196;TZP_36;20;20;21;21;";CTX"
Escherichia coli;30322;AK_30;17;17;18;17;";AG multiple mechanisms"
Escherichia coli;30322;AMC_30;20;21;21;21;";CTX"
Escherichia coli;30322;AMP_10;6;6;6;6;";CTX"
Escherichia coli;30322;CIP_5;21;21;21;22;";QL high level resistance"
Escherichia coli;30322;CN_10;14;11;11;9;";AG multiple mechanisms"
Escherichia coli;30322;CPD_10;9;6;6;6;";CTX"
Escherichia coli;30322;CRO_30;15;14;13;13;";CTX"
Escherichia coli;30322;CXM_30;6;6;6;6;";CTX"
Escherichia coli;30322;DA_2;;;;;
Escherichia coli;30322;E_15;;;;;
Escherichia coli;30322;FD_10;;;;;
Escherichia coli;30322;FEP_30;21;22;22;23;";CTX"
Escherichia coli;30322;FOX_30;20;16;15;16;";CTX"
Escherichia coli;30322;K_30;9;9;6;6;";AG multiple mechanisms"
Escherichia coli;30322;LEV_5;20;20;20;20;";QL high level resistance"
Escherichia coli;30322;LZD_10;;;;;
Escherichia coli;30322;MEM_10;29;30;31;32;";CTX"
Escherichia coli;30322;MH_30;18;17;17;15;";tetB / tetM"
Escherichia coli;30322;NA_30;17;17;17;13;";QL high level resistance"
Escherichia coli;30322;NOR_10;19;20;20;20;";QL high level resistance"
Escherichia coli;30322;P_1;;;;;";CTX"
Escherichia coli;30322;RD_5;;;;;
Escherichia coli;30322;SXT_25;7;6;6;6;
Escherichia coli;30322;TE_30;11;10;9;6;";tetB / tetM"
Escherichia coli;30322;TEC_30;;;;;
Escherichia coli;30322;TEM_30;18;20;18;18;";CTX"
Escherichia coli;30322;TGC_15;19;19;19;20;";tetB / tetM"
Escherichia coli;30322;TOB_10;10;10;9;6;";AG multiple mechanisms"
Escherichia coli;30322;TZP_36;19;19;19;20;";CTX"
Escherichia coli;30407;AK_30;17;17;17;17;";ANT-4/AAC-6"
Escherichia coli;30407;AMC_30;15;15;14;7;";CTX"
Escherichia coli;30407;AMP_10;6;6;6;6;";CTX"
Escherichia coli;30407;CIP_5;6;6;6;6;";QL high level resistance"
Escherichia coli;30407;CN_10;17;18;20;21;";ANT-4/AAC-6"
Escherichia coli;30407;CPD_10;6;6;6;6;";CTX"
Escherichia coli;30407;CRO_30;11;10;9;9;";CTX"
Escherichia coli;30407;CXM_30;6;6;6;6;";CTX"
Escherichia coli;30407;DA_2;;;;;
Escherichia coli;30407;E_15;;;;;
Escherichia coli;30407;FD_10;;;;;
Escherichia coli;30407;FEP_30;17;16;16;15;";CTX"
Escherichia coli;30407;FOX_30;19;17;16;16;";CTX"
Escherichia coli;30407;K_30;12;12;11;10;";ANT-4/AAC-6"
Escherichia coli;30407;LEV_5;10;9;6;6;";QL high level resistance"
Escherichia coli;30407;LZD_10;;;;;
Escherichia coli;30407;MEM_10;28;29;29;30;";CTX"
Escherichia coli;30407;MH_30;22;22;22;21;";Efflux NOT tetB"
Escherichia coli;30407;NA_30;6;6;6;6;";QL high level resistance"
Escherichia coli;30407;NOR_10;6;6;6;6;";QL high level resistance"
Escherichia coli;30407;P_1;;;;;";CTX"
Escherichia coli;30407;RD_5;;;;;
Escherichia coli;30407;SXT_25;26;26;26;26;
Escherichia coli;30407;TE_30;12;9;6;6;";Efflux NOT tetB"
Escherichia coli;30407;TEC_30;;;;;
Escherichia coli;30407;TEM_30;20;20;20;18;";CTX"
Escherichia coli;30407;TGC_15;21;21;21;21;";Efflux NOT tetB"
Escherichia coli;30407;TOB_10;10;10;9;6;";ANT-4/AAC-6"
Escherichia coli;30407;TZP_36;18;17;17;16;";CTX"
Klebsiella pneumoniae;30833;AK_30;19;19;20;19;";ANT-4/AAC-6"
Klebsiella pneumoniae;30833;AMC_30;15;15;8;9;";CTX"
Klebsiella pneumoniae;30833;AMP_10;6;6;6;6;";CTX"
Klebsiella pneumoniae;30833;CIP_5;6;6;6;6;";QL high level resistance"
Klebsiella pneumoniae;30833;CN_10;19;20;20;20;";ANT-4/AAC-6"
Klebsiella pneumoniae;30833;CPD_10;6;6;6;6;";CTX"
Klebsiella pneumoniae;30833;CRO_30;6;6;6;6;";CTX"
Klebsiella pneumoniae;30833;CXM_30;6;6;6;6;";CTX"
Klebsiella pneumoniae;30833;DA_2;;;;;
Klebsiella pneumoniae;30833;E_15;;;;;
Klebsiella pneumoniae;30833;FD_10;;;;;
Klebsiella pneumoniae;30833;FEP_30;14;13;13;13;";CTX"
Klebsiella pneumoniae;30833;FOX_30;13;14;15;15;";CTX"
Klebsiella pneumoniae;30833;K_30;9;6;6;6;";ANT-4/AAC-6"
Klebsiella pneumoniae;30833;LEV_5;6;6;6;6;";QL high level resistance"
Klebsiella pneumoniae;30833;LZD_10;;;;;
Klebsiella pneumoniae;30833;MEM_10;27;28;28;28;";CTX"
Klebsiella pneumoniae;30833;MH_30;19;19;19;18;";TET wild-type"
Klebsiella pneumoniae;30833;NA_30;6;6;6;6;";QL high level resistance"
Klebsiella pneumoniae;30833;NOR_10;6;6;6;6;";QL high level resistance"
Klebsiella pneumoniae;30833;P_1;;;;;";CTX"
Klebsiella pneumoniae;30833;RD_5;;;;;
Klebsiella pneumoniae;30833;SXT_25;20;6;6;6;
Klebsiella pneumoniae;30833;TE_30;21;21;21;20;";TET wild-type"
Klebsiella pneumoniae;30833;TEC_30;;;;;
Klebsiella pneumoniae;30833;TEM_30;16;16;15;15;";CTX"
Klebsiella pneumoniae;30833;TGC_15;18;19;20;19;";TET wild-type"
Klebsiella pneumoniae;30833;TOB_10;13;13;13;12;";ANT-4/AAC-6"
Klebsiella pneumoniae;30833;TZP_36;15;15;14;14;";CTX"
Enterobacter aerogenes;30835;AK_30;20;20;20;20;";AG wild-type"
Enterobacter aerogenes;30835;AMC_30;11;11;9;7;";BSBL or other beta-lactamase"
Enterobacter aerogenes;30835;AMP_10;6;6;6;6;";BSBL or other beta-lactamase"
Enterobacter aerogenes;30835;CIP_5;28;32;33;34;";QL wild-type"
Enterobacter aerogenes;30835;CN_10;18;19;19;20;";AG wild-type"
Enterobacter aerogenes;30835;CPD_10;6;6;6;6;";BSBL or other beta-lactamase"
Enterobacter aerogenes;30835;CRO_30;16;15;13;12;";BSBL or other beta-lactamase"
Enterobacter aerogenes;30835;CXM_30;6;6;6;6;";BSBL or other beta-lactamase"
Enterobacter aerogenes;30835;DA_2;;;;;
Enterobacter aerogenes;30835;E_15;;;;;
Enterobacter aerogenes;30835;FD_10;;;;;
Enterobacter aerogenes;30835;FEP_30;25;26;26;26;";BSBL or other beta-lactamase"
Enterobacter aerogenes;30835;FOX_30;6;6;6;6;";BSBL or other beta-lactamase"
Enterobacter aerogenes;30835;K_30;19;19;20;20;";AG wild-type"
Enterobacter aerogenes;30835;LEV_5;27;29;30;30;";QL wild-type"
Enterobacter aerogenes;30835;LZD_10;;;;;
Enterobacter aerogenes;30835;MEM_10;27;27;27;27;";BSBL or other beta-lactamase"
Enterobacter aerogenes;30835;MH_30;20;20;19;18;";TET wild-type"
Enterobacter aerogenes;30835;NA_30;21;24;23;21;";QL wild-type"
Enterobacter aerogenes;30835;NOR_10;25;29;31;31;";QL wild-type"
Enterobacter aerogenes;30835;P_1;;;;;";BSBL or other beta-lactamase"
Enterobacter aerogenes;30835;RD_5;;;;;
Enterobacter aerogenes;30835;SXT_25;26;28;26;26;
Enterobacter aerogenes;30835;TE_30;24;23;23;23;";TET wild-type"
Enterobacter aerogenes;30835;TEC_30;;;;;
Enterobacter aerogenes;30835;TEM_30;19;20;20;20;";BSBL or other beta-lactamase"
Enterobacter aerogenes;30835;TGC_15;19;19;19;20;";TET wild-type"
Enterobacter aerogenes;30835;TOB_10;18;18;19;19;";AG wild-type"
Enterobacter aerogenes;30835;TZP_36;13;13;13;12;";BSBL or other beta-lactamase"
Escherichia coli;30982;AK_30;16;16;17;17;";AG multiple mechanisms"
Escherichia coli;30982;AMC_30;12;12;12;10;";CTX"
Escherichia coli;30982;AMP_10;6;6;6;6;";CTX"
Escherichia coli;30982;CIP_5;6;6;6;6;";QL high level resistance"
Escherichia coli;30982;CN_10;6;6;6;6;";AG multiple mechanisms"
Escherichia coli;30982;CPD_10;6;6;6;6;";CTX"
Escherichia coli;30982;CRO_30;6;6;6;6;";CTX"
Escherichia coli;30982;CXM_30;7;7;6;7;";CTX"
Escherichia coli;30982;DA_2;;;;;
Escherichia coli;30982;E_15;;;;;
Escherichia coli;30982;FD_10;;;;;
Escherichia coli;30982;FEP_30;13;13;11;9;";CTX"
Escherichia coli;30982;FOX_30;19;18;18;18;";CTX"
Escherichia coli;30982;K_30;6;6;6;6;";AG multiple mechanisms"
Escherichia coli;30982;LEV_5;6;6;6;6;";QL high level resistance"
Escherichia coli;30982;LZD_10;;;;;
Escherichia coli;30982;MEM_10;26;27;28;28;";CTX"
Escherichia coli;30982;MH_30;11;11;10;9;";tetB / tetM"
Escherichia coli;30982;NA_30;6;6;6;6;";QL high level resistance"
Escherichia coli;30982;NOR_10;6;6;6;6;";QL high level resistance"
Escherichia coli;30982;P_1;;;;;";CTX"
Escherichia coli;30982;RD_5;;;;;
Escherichia coli;30982;SXT_25;19;20;19;18;
Escherichia coli;30982;TE_30;6;6;6;6;";tetB / tetM"
Escherichia coli;30982;TEC_30;;;;;
Escherichia coli;30982;TEM_30;17;18;19;18;";CTX"
Escherichia coli;30982;TGC_15;18;19;20;21;";tetB / tetM"
Escherichia coli;30982;TOB_10;9;9;9;6;";AG multiple mechanisms"
Escherichia coli;30982;TZP_36;14;14;14;13;";CTX"
Escherichia coli;31016;AK_30;19;20;20;20;";AG multiple mechanisms"
Escherichia coli;31016;AMC_30;16;17;16;16;";CTX"
Escherichia coli;31016;AMP_10;7;6;6;6;";CTX"
Escherichia coli;31016;CIP_5;6;6;6;6;";QL high level resistance"
Escherichia coli;31016;CN_10;9;6;6;6;";AG multiple mechanisms"
Escherichia coli;31016;CPD_10;6;6;6;6;";CTX"
Escherichia coli;31016;CRO_30;9;9;6;6;";CTX"
Escherichia coli;31016;CXM_30;6;6;6;6;";CTX"
Escherichia coli;31016;DA_2;;;;;
Escherichia coli;31016;E_15;;;;;
Escherichia coli;31016;FD_10;;;;;
Escherichia coli;31016;FEP_30;16;16;13;11;";CTX"
Escherichia coli;31016;FOX_30;17;18;16;16;";CTX"
Escherichia coli;31016;K_30;17;17;17;17;";AG multiple mechanisms"
Escherichia coli;31016;LEV_5;10;9;6;6;";QL high level resistance"
Escherichia coli;31016;LZD_10;;;;;
Escherichia coli;31016;MEM_10;28;30;30;31;";CTX"
Escherichia coli;31016;MH_30;23;17;15;15;";TET wild-type"
Escherichia coli;31016;NA_30;7;6;6;6;";QL high level resistance"
Escherichia coli;31016;NOR_10;6;6;6;6;";QL high level resistance"
Escherichia coli;31016;P_1;;;;;";CTX"
Escherichia coli;31016;RD_5;;;;;
Escherichia coli;31016;SXT_25;9;6;6;6;
Escherichia coli;31016;TE_30;23;24;23;22;";TET wild-type"
Escherichia coli;31016;TEC_30;;;;;
Escherichia coli;31016;TEM_30;19;20;20;20;";CTX"
Escherichia coli;31016;TGC_15;21;22;22;22;";TET wild-type"
Escherichia coli;31016;TOB_10;15;14;11;11;";AG multiple mechanisms"
Escherichia coli;31016;TZP_36;20;20;19;17;";CTX"
Escherichia coli;31029;AK_30;19;19;19;19;";AG multiple mechanisms"
Escherichia coli;31029;AMC_30;17;17;16;16;";ESBL"
Escherichia coli;31029;AMP_10;9;6;6;6;";ESBL"
Escherichia coli;31029;CIP_5;6;6;6;6;";QL high level resistance"
Escherichia coli;31029;CN_10;11;11;10;8;";AG multiple mechanisms"
Escherichia coli;31029;CPD_10;6;6;6;6;";ESBL"
Escherichia coli;31029;CRO_30;12;11;7;6;";ESBL"
Escherichia coli;31029;CXM_30;6;6;6;6;";ESBL"
Escherichia coli;31029;DA_2;;;;;
Escherichia coli;31029;E_15;;;;;
Escherichia coli;31029;FD_10;;;;;
Escherichia coli;31029;FEP_30;17;16;16;15;";ESBL"
Escherichia coli;31029;FOX_30;19;20;21;23;";ESBL"
Escherichia coli;31029;K_30;15;15;14;13;";AG multiple mechanisms"
Escherichia coli;31029;LEV_5;9;10;9;6;";QL high level resistance"
Escherichia coli;31029;LZD_10;;;;;
Escherichia coli;31029;MEM_10;29;30;31;31;";ESBL"
Escherichia coli;31029;MH_30;18;18;15;15;";tetB / tetM"
Escherichia coli;31029;NA_30;6;6;6;6;";QL high level resistance"
Escherichia coli;31029;NOR_10;6;6;6;6;";QL high level resistance"
Escherichia coli;31029;P_1;;;;;";ESBL"
Escherichia coli;31029;RD_5;;;;;
Escherichia coli;31029;SXT_25;6;6;6;6;
Escherichia coli;31029;TE_30;6;6;6;6;";tetB / tetM"
Escherichia coli;31029;TEC_30;;;;;
Escherichia coli;31029;TEM_30;20;20;20;20;";ESBL"
Escherichia coli;31029;TGC_15;20;21;21;21;";tetB / tetM"
Escherichia coli;31029;TOB_10;14;13;13;10;";AG multiple mechanisms"
Escherichia coli;31029;TZP_36;19;19;19;19;";ESBL"
Enterobacter cloacae;31081;AK_30;19;20;20;20;";AG wild-type"
Enterobacter cloacae;31081;AMC_30;6;6;6;6;";cAmpC hyper"
Enterobacter cloacae;31081;AMP_10;6;6;6;6;";cAmpC hyper"
Enterobacter cloacae;31081;CIP_5;28;28;29;29;";QL wild-type"
Enterobacter cloacae;31081;CN_10;18;19;20;19;";AG wild-type"
Enterobacter cloacae;31081;CPD_10;6;7;7;6;";cAmpC hyper"
Enterobacter cloacae;31081;CRO_30;20;19;18;18;";cAmpC hyper"
Enterobacter cloacae;31081;CXM_30;6;6;6;6;";cAmpC hyper"
Enterobacter cloacae;31081;DA_2;;;;;
