organism;checkin;antibiotic;diameter 6h;diameter 8h;diameter 12h;diameter 18h;phenotypes
Enterobacter cloacae;42048;Ciprofloxacin;28.26864892;28.93506717;30.01669493;31.61129407;";Quinolone wild-type"
Enterobacter cloacae;42048;Gentamicin;18.87939205;19.4000504;19.93926039;20.04729245;";Aminoglycoside wild-type"
Enterobacter cloacae;42048;Cefpodoxime;6.4;6.4;6.4;6.4;";AmpC hyperproduction"
Enterobacter cloacae;42048;Ceftriaxone;6.4;6.4;6.4;6.4;";AmpC hyperproduction"
Enterobacter cloacae;42048;Cefuroxime;6.4;6.4;6.4;6.4;";AmpC hyperproduction"
Enterobacter cloacae;42048;Cefepime;18.15219953;17.40758084;16.74214385;16.02;";AmpC hyperproduction"
Enterobacter cloacae;42048;Levofloxacin;26.81942974;27.58136433;28.63269273;29.86292101;";Quinolone wild-type"
Enterobacter cloacae;42048;Meropenem;18.67846394;18.68196149;19.92308245;18.24;";AmpC hyperproduction"
Enterobacter cloacae;42048;Minocyclin;19;18;18;17;";Tetracycline wild-type"
Enterobacter cloacae;42048;Naladixic acid;21.52897475;22.1451015;22.55176765;22.2711709;";Quinolone wild-type"
Enterobacter cloacae;42048;Norfloxacin;23.73938391;23.95601151;25.13576105;26.04996385;";Quinolone wild-type"
Enterobacter cloacae;42048;Tetracycline;22;22;21;21;";Tetracycline wild-type"
Enterobacter cloacae;42048;Temocillin;12.66703639;12.7333514;12.62;12.01;";AmpC hyperproduction"
Enterobacter cloacae;42048;Tobramycin;18.54241136;18.75626356;19.18500858;19.2768654;";Aminoglycoside wild-type"
Enterobacter cloacae;42048;Piperacillin/Tazobactam;8.59956167;6.4;6.4;6.4;";AmpC hyperproduction"
Enterobacter cloacae;46073;Ciprofloxacin;27.78610495;28.86262433;29.3549052;30.30884994;";Quinolone wild-type"
Enterobacter cloacae;46073;Gentamicin;19.61657096;20.58887282;21.29270441;21.53020689;";Aminoglycoside wild-type"
Enterobacter cloacae;46073;Cefpodoxime;6.4;6.4;6.4;6.4;";AmpC hyperproduction"
Enterobacter cloacae;46073;Ceftriaxone;6.3528;6.4;6.4;6.4;";AmpC hyperproduction"
Enterobacter cloacae;46073;Cefuroxime;6.5112;6.4;6.4;6.4;";AmpC hyperproduction"
Enterobacter cloacae;46073;Cefepime;23.01250765;24.25298031;24.18719823;23.65768139;";AmpC hyperproduction"
Enterobacter cloacae;46073;Levofloxacin;25.83063237;27.4775959;27.81022154;28.3095075;";Quinolone wild-type"
Enterobacter cloacae;46073;Meropenem;26.7567581;27.51146768;27.54651182;27.6266179;";AmpC hyperproduction"
Enterobacter cloacae;46073;Minocyclin;21;20;19;18;";Tetracycline wild-type"
Enterobacter cloacae;46073;Naladixic acid;20.37277367;21.10895005;21.60072022;21.30695244;";Quinolone wild-type"
Enterobacter cloacae;46073;Norfloxacin;24.17314398;26.0749945;26.57871499;27.04520094;";Quinolone wild-type"
Enterobacter cloacae;46073;Tetracycline;23;23;23;22;";Tetracycline wild-type"
Enterobacter cloacae;46073;Temocillin;17.69439643;18.43950734;15.06;14.83;";AmpC hyperproduction"
Enterobacter cloacae;46073;Tobramycin;19.41749911;19.93669466;20.24846604;20.67905201;";Aminoglycoside wild-type"
Enterobacter cloacae;46073;Piperacillin/Tazobactam;14.94524256;14.65196423;11.97;10.89;";AmpC hyperproduction"
Enterobacter cloacae;47159;Ciprofloxacin;15.37550963;15.49290424;15.39221744;15.60829365;";Quinolone high level resistance"
Enterobacter cloacae;47159;Gentamicin;14.32037332;15.28417983;13.89964387;13.06;";Aminoglycoside multiple mechanisms"
Enterobacter cloacae;47159;Cefpodoxime;6.4;6.4;6.4;6.4;";ESBL"
Enterobacter cloacae;47159;Ceftriaxone;7.698305185;6.4;6.4;6.4;";ESBL"
Enterobacter cloacae;47159;Cefuroxime;6.4;6.4;6.4;6.4;";ESBL"
Enterobacter cloacae;47159;Cefepime;18.68062524;18.6691516;18.67050678;18.8786485;";ESBL"
Enterobacter cloacae;47159;Levofloxacin;15.81396767;16.23176236;16.12452501;15.89294568;";Quinolone high level resistance"
Enterobacter cloacae;47159;Meropenem;25.66083819;26.1534575;26.18998879;26.04494249;";ESBL"
Enterobacter cloacae;47159;Minocyclin;21;20;19;19;";Tetracycline wild-type"
Enterobacter cloacae;47159;Naladixic acid;6.4;6.4;6.4;6.4;";Quinolone high level resistance"
Enterobacter cloacae;47159;Norfloxacin;14.41788404;14.22648491;14.33593064;14.31713806;";Quinolone high level resistance"
Enterobacter cloacae;47159;Tetracycline;22;22;22;22;";Tetracycline wild-type"
Enterobacter cloacae;47159;Temocillin;18.6532197;19.73530651;19.1322605;18.39456824;";ESBL"
Enterobacter cloacae;47159;Tobramycin;15.703627;15.37635103;13.47052077;9.54;";Aminoglycoside multiple mechanisms"
Enterobacter cloacae;47159;Piperacillin/Tazobactam;15.05902629;14.74935453;12.32458772;11.62811368;";ESBL"
Enterobacter cloacae;47730;Ciprofloxacin;30.79784909;32.01141555;31.65186536;31.89963353;";Quinolone wild-type"
Enterobacter cloacae;47730;Gentamicin;18.36182002;19.07678171;19.4981535;19.72038436;";Aminoglycoside wild-type"
Enterobacter cloacae;47730;Cefpodoxime;6.3528;6.4;6.4;6.4;";AmpC hyperproduction"
Enterobacter cloacae;47730;Ceftriaxone;18.01361312;17.3849413;11.91;10.9;";AmpC hyperproduction"
Enterobacter cloacae;47730;Cefuroxime;6.3528;6.4;6.4;6.4;";AmpC hyperproduction"
Enterobacter cloacae;47730;Cefepime;27.67187727;28.63007825;24.88;25.34;";AmpC hyperproduction"
Enterobacter cloacae;47730;Levofloxacin;28.7968401;30.14555724;30.23630873;30.44105444;";Quinolone wild-type"
Enterobacter cloacae;47730;Meropenem;28.28277279;28.9609867;28.82;28.88;";AmpC hyperproduction"
Enterobacter cloacae;47730;Minocyclin;21;20;19;18;";Tetracycline wild-type"
Enterobacter cloacae;47730;Naladixic acid;21.63972406;22.79813762;23.32402196;22.98941699;";Quinolone wild-type"
Enterobacter cloacae;47730;Norfloxacin;27.93693059;28.41828223;28.54444039;28.92338271;";Quinolone wild-type"
Enterobacter cloacae;47730;Tetracycline;24;24;23;23;";Tetracycline wild-type"
Enterobacter cloacae;47730;Temocillin;23.0153586;24.0316124;20.94;21.31;";AmpC hyperproduction"
Enterobacter cloacae;47730;Tobramycin;18.7625302;19.08592507;19.41705929;19.3899585;";Aminoglycoside wild-type"
Enterobacter cloacae;47730;Piperacillin/Tazobactam;19.71479078;19.94233186;19.41;13.98;";AmpC hyperproduction"
Enterobacter cloacae;47779;Ciprofloxacin;28.49419934;28.82777343;29.09773029;29.52004262;";Quinolone low level resistance"
Enterobacter cloacae;47779;Gentamicin;18.35440502;18.99669289;19.38;19.52;";Aminoglycoside wild-type"
Enterobacter cloacae;47779;Cefpodoxime;6.4;6.4;6.4;6.4;";AmpC hyperproduction"
Enterobacter cloacae;47779;Ceftriaxone;11;8.709142844;6.4;6.4;";AmpC hyperproduction"
Enterobacter cloacae;47779;Cefuroxime;6.4;6.4;6.4;6.4;";AmpC hyperproduction"
Enterobacter cloacae;47779;Cefepime;24.61270143;24.39098976;23.06;21.85;";AmpC hyperproduction"
Enterobacter cloacae;47779;Levofloxacin;27.14593379;27.44549228;27.58378082;28.40327315;";Quinolone low level resistance"
Enterobacter cloacae;47779;Meropenem;26.6501362;26.73525825;26.9;26.96;";AmpC hyperproduction"
Enterobacter cloacae;47779;Minocyclin;20;20;19;18;";Tetracycline wild-type"
Enterobacter cloacae;47779;Naladixic acid;20.87310174;21.50762009;18.84;18.14;";Quinolone low level resistance"
Enterobacter cloacae;47779;Norfloxacin;26.05884383;26.34607795;26.4267212;27.0656658;";Quinolone low level resistance"
Enterobacter cloacae;47779;Tetracycline;23;23;22;22;";Tetracycline wild-type"
Enterobacter cloacae;47779;Temocillin;20.75431687;21.29888797;18.51;18.08;";AmpC hyperproduction"
Enterobacter cloacae;47779;Tobramycin;17.93494859;18.44232387;18.64;18.66;";Aminoglycoside wild-type"
Enterobacter cloacae;47779;Piperacillin/Tazobactam;14.52835601;13.8992287;12.43;11.24;";AmpC hyperproduction"
Enterobacter cloacae;60122;Ciprofloxacin;18.00926907;18.54773114;18.33081555;18.15176992;";Quinolone high level resistance"
Enterobacter cloacae;60122;Gentamicin;10.83839436;10.08746268;9.55912407;8;";Aminoglycoside multiple mechanisms"
Enterobacter cloacae;60122;Cefpodoxime;6.4;6.4;6.4;6.4;";ESBL"
Enterobacter cloacae;60122;Ceftriaxone;10.83014301;9.55061312;6.741259514;6.4;";ESBL"
Enterobacter cloacae;60122;Cefuroxime;6.4;6.4;6.4;6.4;";ESBL"
Enterobacter cloacae;60122;Cefepime;17.19720529;16.87451279;14.33750921;14.48607236;";ESBL"
Enterobacter cloacae;60122;Levofloxacin;20.47329678;22.15992162;23.09587491;20.46311667;";Quinolone high level resistance"
Enterobacter cloacae;60122;Meropenem;26.15200754;26.48494671;26.71069559;26.69230858;";ESBL"
Enterobacter cloacae;60122;Minocyclin;18;17;17;16;";Tetracycline wild-type"
Enterobacter cloacae;60122;Naladixic acid;14.94999159;15.68518359;14.00606385;6.51;";Quinolone high level resistance"
Enterobacter cloacae;60122;Norfloxacin;18.13790655;19.10183232;19.30748564;19.06613398;";Quinolone high level resistance"
Enterobacter cloacae;60122;Tetracycline;11.99921693;10.62155181;9.760438777;9.130658082;";Efflux NOT tetB"
Enterobacter cloacae;60122;Temocillin;20.15824043;21.08835981;20.96805304;21.21154153;";ESBL"
Enterobacter cloacae;60122;Tobramycin;11.87692495;11.46643282;10.61647697;10.09;";Aminoglycoside multiple mechanisms"
Enterobacter cloacae;60122;Piperacillin/Tazobactam;18.12024377;18.46437539;18.55436661;16.46361236;";ESBL"
Enterobacter cloacae;62317;Ciprofloxacin;25.84025196;26.60357755;28.30960691;29.39003878;";Quinolone low level resistance"
Enterobacter cloacae;62317;Gentamicin;19.38204352;20.356216;21.29;21.52;";Aminoglycoside wild-type"
Enterobacter cloacae;62317;Cefpodoxime;6.4;6.4;6.4;6.4;";AmpC hyperproduction"
Enterobacter cloacae;62317;Ceftriaxone;6.4;6.4;6.4;6.4;";AmpC hyperproduction"
Enterobacter cloacae;62317;Cefuroxime;6.4;6.4;6.4;6.4;";AmpC hyperproduction"
Enterobacter cloacae;62317;Cefepime;20.67879954;21.07799392;20.36739856;19.72992467;";AmpC hyperproduction"
Enterobacter cloacae;62317;Levofloxacin;22.99632733;24.24534835;25.03313943;26.04489035;";Quinolone low level resistance"
Enterobacter cloacae;62317;Meropenem;23.96482585;25.61824116;26.04181673;26.06291914;";AmpC hyperproduction"
Enterobacter cloacae;62317;Minocyclin;15;14;12;11;";Tetracycline wild-type"
Enterobacter cloacae;62317;Naladixic acid;17.72653178;18.03847561;17.83;17.07;";Quinolone low level resistance"
Enterobacter cloacae;62317;Norfloxacin;21.82724609;22.27391426;22.46625738;23.31434895;";Quinolone low level resistance"
Enterobacter cloacae;62317;Tetracycline;18;18;17;16;";Tetracycline wild-type"
Enterobacter cloacae;62317;Temocillin;17.29907914;17.82713534;17.48049317;16.87;";AmpC hyperproduction"
Enterobacter cloacae;62317;Tobramycin;18.86440391;19.40374321;19.81;19.93;";Aminoglycoside wild-type"
Enterobacter cloacae;62317;Piperacillin/Tazobactam;11.89415839;11.35419458;9.136440471;6.4;";AmpC hyperproduction"
Enterobacter cloacae;66198;Ciprofloxacin;30.07713909;31.58903412;31.28283503;31.69245501;";Quinolone wild-type"
Enterobacter cloacae;66198;Gentamicin;19.0732091;19.51250924;19.81585944;20.13;";Aminoglycoside wild-type"
Enterobacter cloacae;66198;Cefpodoxime;6.3528;6.4;6.4;6.4;";AmpC hyperproduction"
Enterobacter cloacae;66198;Ceftriaxone;6.3528;6.4;6.4;6.4;";AmpC hyperproduction"
Enterobacter cloacae;66198;Cefuroxime;6.4;6.4;6.4;6.4;";AmpC hyperproduction"
Enterobacter cloacae;66198;Cefepime;21.29163707;22.48740799;22.81198791;21.18;";AmpC hyperproduction"
Enterobacter cloacae;66198;Levofloxacin;27.34691008;29.44335995;29.62852406;29.94132474;";Quinolone wild-type"
Enterobacter cloacae;66198;Meropenem;26.64422894;27.49160018;27.4200657;27.45;";AmpC hyperproduction"
Enterobacter cloacae;66198;Minocyclin;21;20;19;19;";Tetracycline wild-type"
Enterobacter cloacae;66198;Naladixic acid;21.94718022;23.10598222;23.51795282;20.01;";Quinolone wild-type"
Enterobacter cloacae;66198;Norfloxacin;26.92599482;28.56595167;28.67656513;28.90023179;";Quinolone wild-type"
Enterobacter cloacae;66198;Tetracycline;24;24;23;23;";Tetracycline wild-type"
Enterobacter cloacae;66198;Temocillin;16.2684531;17.61622036;18.01632696;18.14;";AmpC hyperproduction"
Enterobacter cloacae;66198;Tobramycin;19.39439171;19.09773465;19.51134524;19.83;";Aminoglycoside wild-type"
Enterobacter cloacae;66198;Piperacillin/Tazobactam;12;10.82999151;9.868062406;9.88;";AmpC hyperproduction"
Enterobacter cloacae;66913;Ciprofloxacin;15.37752736;14.52797565;14.01;13.9;";Quinolone high level resistance"
Enterobacter cloacae;66913;Gentamicin;6.4;6.4;6.4;6.4;";Aminoglycoside multiple mechanisms"
Enterobacter cloacae;66913;Cefpodoxime;6.4;6.4;6.4;6.4;";ESBL"
Enterobacter cloacae;66913;Ceftriaxone;9.57145636;8.70879502;6.4;6.4;";ESBL"
Enterobacter cloacae;66913;Cefuroxime;6.4;6.4;6.4;6.4;";ESBL"
Enterobacter cloacae;66913;Cefepime;16.45117202;15.81571284;15.50679526;15.47506632;";ESBL"
Enterobacter cloacae;66913;Levofloxacin;17.28939283;17.31070717;17.72;17.72;";Quinolone high level resistance"
Enterobacter cloacae;66913;Meropenem;26.93315953;27.28744358;27.42220203;27.3739627;";ESBL"
Enterobacter cloacae;66913;Minocyclin;15.90759901;15.25758357;11.78;12.33;";RND pump"
Enterobacter cloacae;66913;Naladixic acid;6.4;6.4;6.4;6.4;";Quinolone high level resistance"
Enterobacter cloacae;66913;Norfloxacin;13.80307767;12.41436228;12.41;12.21;";Quinolone high level resistance"
Enterobacter cloacae;66913;Tetracycline;9.133694426;6.4;6.4;6.4;";RND pump"
Enterobacter cloacae;66913;Temocillin;21.4080327;22.37918819;22.68;20.46;";ESBL"
Enterobacter cloacae;66913;Tobramycin;11.02940076;9.773727913;9.14;9.02;";Aminoglycoside multiple mechanisms"
Enterobacter cloacae;66913;Piperacillin/Tazobactam;17.50218193;17.71251948;17.94;17.92;";ESBL"
Enterobacter cloacae;67748;Ciprofloxacin;27.2948569;27.83617711;28.36448209;28.690558;";Quinolone wild-type"
Enterobacter cloacae;67748;Gentamicin;17.90574289;18.11481557;18.23745443;18.33;";Aminoglycoside wild-type"
Enterobacter cloacae;67748;Cefpodoxime;6.4;6.4;6.4;6.4;";AmpC hyperproduction"
Enterobacter cloacae;67748;Ceftriaxone;18.02909978;16.42866008;15.40059607;14.5201462;";AmpC hyperproduction"
Enterobacter cloacae;67748;Cefuroxime;11.67308647;9.242969642;6.4;6.4;";AmpC hyperproduction"
Enterobacter cloacae;67748;Cefepime;25.75685347;26.39155939;26.68604182;26.86535497;";AmpC hyperproduction"
Enterobacter cloacae;67748;Levofloxacin;24.90187173;25.55691455;25.93628286;26.0812578;";Quinolone wild-type"
Enterobacter cloacae;67748;Meropenem;26.69659747;26.83995141;26.86108725;26.80380899;";AmpC hyperproduction"
Enterobacter cloacae;67748;Minocyclin;20;19;18;17;";Tetracycline wild-type"
Enterobacter cloacae;67748;Naladixic acid;20.47259441;20.97391425;21.18239674;19.32;";Quinolone wild-type"
Enterobacter cloacae;67748;Norfloxacin;23.93319909;24.4580454;24.87573993;25.12461209;";Quinolone wild-type"
Enterobacter cloacae;67748;Tetracycline;23;22;22;21;";Tetracycline wild-type"
Enterobacter cloacae;67748;Temocillin;20.04069021;20.24861457;14.66;15.07;";AmpC hyperproduction"
Enterobacter cloacae;67748;Tobramycin;17.27240798;17.52236117;17.61356085;17.73;";Aminoglycoside wild-type"
Enterobacter cloacae;67748;Piperacillin/Tazobactam;18.45462087;17.8158561;16.96;16.34;";AmpC hyperproduction"
Enterobacter cloacae;80427;Ciprofloxacin;6.4;6.4;6.4;6.4;";Quinolone high level resistance"
Enterobacter cloacae;80427;Gentamicin;9.456650145;8.930583659;6.4;6.4;";Aminoglycoside multiple mechanisms"
Enterobacter cloacae;80427;Cefpodoxime;6.4;6.4;6.4;6.4;";ESBL"
