barcode;organism;atb_acronim;6h;8h;12h;18h;phenotypes
3015903880;A. baumanii;Tobramycine;19;21;22;22;Aminoglycoside wild-type
3015903881;A. baumanii;Amikacine;20;21;23;23;Aminoglycoside wild-type
3015903881;A. baumanii;Ciprofloxacine;25;27;28;28;Quinolone wild-type
3015903881;A. baumanii;Gentamicine;19;21;23;23;Aminoglycoside wild-type
3015903881;A. baumanii;Imipeneme;28;29;30;31;beta-Lactamase wild-type
3015903881;A. baumanii;Levofloxacine;26;28;28;28;Quinolone wild-type
3015903881;A. baumanii;Meropeneme;22;26;27;27;beta-Lactamase wild-type
3015903881;A. baumanii;Tobramycine;18;20;22;22;Aminoglycoside wild-type
3015903882;A. baumanii;Amikacine;19;21;23;23;Aminoglycoside wild-type
3015903882;A. baumanii;Ciprofloxacine;24;25;26;26;Quinolone wild-type
3015903882;A. baumanii;Gentamicine;19;20;22;23;Aminoglycoside wild-type
3015903882;A. baumanii;Imipeneme;28;31;32;32;beta-Lactamase wild-type
3015903882;A. baumanii;Levofloxacine;24;25;26;27;Quinolone wild-type
3015903882;A. baumanii;Meropeneme;21;23;24;25;beta-Lactamase wild-type
3015903882;A. baumanii;Tobramycine;18;20;22;22;Aminoglycoside wild-type
3015903883;A. baumanii;Amikacine;20;21;23;23;Aminoglycoside wild-type
3015903883;A. baumanii;Ciprofloxacine;28;28;30;31;Quinolone wild-type
3015903883;A. baumanii;Gentamicine;19;21;22;23;Aminoglycoside wild-type
3015903883;A. baumanii;Imipeneme;28;31;34;36;beta-Lactamase wild-type
3015903883;A. baumanii;Levofloxacine;26;28;30;30;Quinolone wild-type
3015903883;A. baumanii;Meropeneme;25;27;29;30;beta-Lactamase wild-type
3015903883;A. baumanii;Tobramycine;19;20;22;22;Aminoglycoside wild-type
3015903884;A. baumanii;Amikacine;6;6;6;6;Aminoglycoside-non-wild-type
3015903884;A. baumanii;Ciprofloxacine;6;6;6;6;Quinolone-non-wild-type
3015903884;A. baumanii;Gentamicine;6;6;6;6;Aminoglycoside-non-wild-type
3015903884;A. baumanii;Imipeneme;10;10;9;9;beta-Lactamase-non-wild-type
3015903884;A. baumanii;Levofloxacine;13;13;12;11;Quinolone-non-wild-type
3015903884;A. baumanii;Meropeneme;9;9;6;6;beta-Lactamase-non-wild-type
3015903884;A. baumanii;Tobramycine;6;6;6;6;Aminoglycoside-non-wild-type
3015903885;A. baumanii;Amikacine;17;20;20;20;Aminoglycoside wild-type
3015903885;A. baumanii;Ciprofloxacine;15;15;13;13;Quinolone-non-wild-type
3015903885;A. baumanii;Gentamicine;17;20;21;21;Aminoglycoside wild-type
3015903885;A. baumanii;Imipeneme;28;29;29;29;beta-Lactamase wild-type
3015903885;A. baumanii;Levofloxacine;17;17;17;14;Quinolone-non-wild-type
3015903885;A. baumanii;Meropeneme;20;23;24;24;beta-Lactamase wild-type
3015903885;A. baumanii;Tobramycine;17;19;20;20;Aminoglycoside wild-type
3015903887;A. baumanii;Amikacine;9;6;6;6;Aminoglycoside-non-wild-type
3015903887;A. baumanii;Ciprofloxacine;6;6;6;6;Quinolone-non-wild-type
3015903887;A. baumanii;Gentamicine;6;6;6;6;Aminoglycoside-non-wild-type
3015903887;A. baumanii;Imipeneme;15;15;14;10;beta-Lactamase-non-wild-type
3015903887;A. baumanii;Levofloxacine;14;14;13;8;Quinolone-non-wild-type
3015903887;A. baumanii;Meropeneme;12;12;11;6;beta-Lactamase-non-wild-type
3015903887;A. baumanii;Tobramycine;6;6;6;6;Aminoglycoside-non-wild-type
3015903888;A. baumanii;Amikacine;21;23;24;24;Aminoglycoside wild-type
3015903888;A. baumanii;Ciprofloxacine;25;27;28;28;Quinolone wild-type
3015903888;A. baumanii;Gentamicine;20;22;23;23;Aminoglycoside wild-type
3015903888;A. baumanii;Imipeneme;28;29;30;30;beta-Lactamase wild-type
3015903888;A. baumanii;Levofloxacine;26;28;28;28;Quinolone wild-type
3015903888;A. baumanii;Meropeneme;23;25;26;26;beta-Lactamase wild-type
3015903888;A. baumanii;Tobramycine;20;22;22;22;Aminoglycoside wild-type
3015903889;A. baumanii;Amikacine;19;20;21;21;Aminoglycoside wild-type
3015903889;A. baumanii;Ciprofloxacine;23;25;26;26;Quinolone wild-type
3015903889;A. baumanii;Gentamicine;17;17;18;19;Aminoglycoside wild-type
3015903889;A. baumanii;Imipeneme;27;28;28;30;beta-Lactamase wild-type
3015903889;A. baumanii;Levofloxacine;25;26;27;27;Quinolone wild-type
3015903889;A. baumanii;Meropeneme;22;24;24;23;beta-Lactamase wild-type
3015903889;A. baumanii;Tobramycine;18;19;20;20;Aminoglycoside wild-type
3015903890;A. baumanii;Amikacine;16;19;21;23;Aminoglycoside wild-type
3015903890;A. baumanii;Ciprofloxacine;19;23;26;28;Quinolone wild-type
3015903890;A. baumanii;Gentamicine;18;20;22;24;Aminoglycoside wild-type
3015903890;A. baumanii;Imipeneme;27;33;33;33;beta-Lactamase wild-type
3015903890;A. baumanii;Levofloxacine;17;25;28;28;Quinolone wild-type
3015903890;A. baumanii;Meropeneme;22;26;25;30;beta-Lactamase wild-type
3015903890;A. baumanii;Tobramycine;16;18;20;22;Aminoglycoside wild-type
3015903891;A. baumanii;Amikacine;18;20;21;21;Aminoglycoside wild-type
3015903891;A. baumanii;Ciprofloxacine;22;27;28;28;Quinolone wild-type
3015903891;A. baumanii;Gentamicine;17;19;20;21;Aminoglycoside wild-type
3015903891;A. baumanii;Imipeneme;27;28;31;32;beta-Lactamase wild-type
3015903891;A. baumanii;Levofloxacine;26;29;29;29;Quinolone wild-type
3015903891;A. baumanii;Meropeneme;23;24;29;29;beta-Lactamase wild-type
3015903891;A. baumanii;Tobramycine;15;18;19;19;Aminoglycoside wild-type
3015903892;A. baumanii;Amikacine;20;23;24;25;Aminoglycoside wild-type
3015903892;A. baumanii;Ciprofloxacine;22;25;26;27;Quinolone wild-type
3015903892;A. baumanii;Gentamicine;19;22;24;24;Aminoglycoside wild-type
3015903892;A. baumanii;Imipeneme;29;31;31;32;beta-Lactamase wild-type
3015903892;A. baumanii;Levofloxacine;22;25;27;28;Quinolone wild-type
3015903892;A. baumanii;Meropeneme;25;28;30;32;beta-Lactamase wild-type
3015903892;A. baumanii;Tobramycine;18;22;23;23;Aminoglycoside wild-type
3015903893;A. baumanii;Amikacine;21;21;22;22;Aminoglycoside wild-type
3015903893;A. baumanii;Ciprofloxacine;23;27;28;28;Quinolone wild-type
3015903893;A. baumanii;Gentamicine;21;21;22;22;Aminoglycoside wild-type
3015903893;A. baumanii;Imipeneme;28;29;30;30;beta-Lactamase wild-type
3015903893;A. baumanii;Levofloxacine;26;28;28;28;Quinolone wild-type
3015903893;A. baumanii;Meropeneme;23;26;27;28;beta-Lactamase wild-type
3015903893;A. baumanii;Tobramycine;20;20;20;20;Aminoglycoside wild-type
3015903894;A. baumanii;Amikacine;18;22;23;23;Aminoglycoside wild-type
3015903894;A. baumanii;Ciprofloxacine;23;28;30;30;Quinolone wild-type
3015903894;A. baumanii;Gentamicine;18;22;23;24;Aminoglycoside wild-type
3015903894;A. baumanii;Imipeneme;27;31;33;34;beta-Lactamase wild-type
3015903894;A. baumanii;Levofloxacine;22;29;30;31;Quinolone wild-type
3015903894;A. baumanii;Meropeneme;24;26;28;29;beta-Lactamase wild-type
3015903894;A. baumanii;Tobramycine;18;21;22;23;Aminoglycoside wild-type
3015903895;A. baumanii;Amikacine;20;21;21;21;Aminoglycoside wild-type
3015903895;A. baumanii;Ciprofloxacine;25;27;27;28;Quinolone wild-type
3015903895;A. baumanii;Gentamicine;20;20;18;18;Aminoglycoside wild-type
3015903895;A. baumanii;Imipeneme;27;28;28;28;beta-Lactamase wild-type
3015903895;A. baumanii;Levofloxacine;27;27;28;28;Quinolone wild-type
3015903895;A. baumanii;Meropeneme;23;24;25;26;beta-Lactamase wild-type
3015903895;A. baumanii;Tobramycine;19;20;20;20;Aminoglycoside wild-type
3015903897;A. baumanii;Amikacine;19;22;22;23;Aminoglycoside wild-type
3015903897;A. baumanii;Ciprofloxacine;22;24;25;25;Quinolone wild-type
3015903897;A. baumanii;Gentamicine;18;21;22;22;Aminoglycoside wild-type
3015903897;A. baumanii;Imipeneme;27;31;32;29;beta-Lactamase wild-type
3015903897;A. baumanii;Levofloxacine;26;27;27;27;Quinolone wild-type
3015903897;A. baumanii;Meropeneme;19;24;23;23;beta-Lactamase wild-type
3015903897;A. baumanii;Tobramycine;18;20;21;22;Aminoglycoside wild-type
3015903898;A. baumanii;Amikacine;20;21;22;22;Aminoglycoside wild-type
3015903898;A. baumanii;Ciprofloxacine;25;28;28;29;Quinolone wild-type
3015903898;A. baumanii;Gentamicine;18;20;21;22;Aminoglycoside wild-type
3015903898;A. baumanii;Imipeneme;28;30;30;30;beta-Lactamase wild-type
3015903898;A. baumanii;Levofloxacine;24;28;28;28;Quinolone wild-type
3015903898;A. baumanii;Meropeneme;20;24;27;27;beta-Lactamase wild-type
3015903898;A. baumanii;Tobramycine;18;20;21;21;Aminoglycoside wild-type
3015903899;A. baumanii;Amikacine;19;21;22;22;Aminoglycoside wild-type
3015903899;A. baumanii;Ciprofloxacine;23;24;24;25;Quinolone wild-type
3015903899;A. baumanii;Gentamicine;19;20;22;22;Aminoglycoside wild-type
3015903899;A. baumanii;Imipeneme;29;30;30;30;beta-Lactamase wild-type
3015903899;A. baumanii;Levofloxacine;24;25;26;26;Quinolone wild-type
3015903899;A. baumanii;Meropeneme;22;24;25;26;beta-Lactamase wild-type
3015903899;A. baumanii;Tobramycine;19;20;21;21;Aminoglycoside wild-type
3015903900;A. baumanii;Amikacine;18;20;22;22;Aminoglycoside wild-type
3015903900;A. baumanii;Ciprofloxacine;25;27;28;28;Quinolone wild-type
3015903900;A. baumanii;Gentamicine;18;21;22;21;Aminoglycoside wild-type
3015903900;A. baumanii;Imipeneme;29;29;30;30;beta-Lactamase wild-type
3015903900;A. baumanii;Levofloxacine;26;27;27;28;Quinolone wild-type
3015903900;A. baumanii;Meropeneme;22;25;26;26;beta-Lactamase wild-type
3015903900;A. baumanii;Tobramycine;16;18;20;21;Aminoglycoside wild-type
3015903902;A. baumanii;Amikacine;18;20;21;21;Aminoglycoside wild-type
3015903902;A. baumanii;Ciprofloxacine;25;26;25;25;Quinolone wild-type
3015903902;A. baumanii;Gentamicine;19;20;21;21;Aminoglycoside wild-type
3015903902;A. baumanii;Imipeneme;25;25;27;26;beta-Lactamase wild-type
3015903902;A. baumanii;Levofloxacine;25;27;26;26;Quinolone wild-type
3015903902;A. baumanii;Meropeneme;23;23;26;25;beta-Lactamase wild-type
3015903902;A. baumanii;Tobramycine;18;19;20;20;Aminoglycoside wild-type
3015903903;A. baumanii;Amikacine;20;22;22;22;Aminoglycoside wild-type
3015903903;A. baumanii;Ciprofloxacine;24;26;27;27;Quinolone wild-type
3015903903;A. baumanii;Gentamicine;19;21;22;22;Aminoglycoside wild-type
3015903903;A. baumanii;Imipeneme;29;30;31;31;beta-Lactamase wild-type
3015903903;A. baumanii;Levofloxacine;25;27;27;27;Quinolone wild-type
3015903903;A. baumanii;Meropeneme;22;25;27;27;beta-Lactamase wild-type
3015903903;A. baumanii;Tobramycine;19;20;21;21;Aminoglycoside wild-type
3015903904;A. baumanii;Amikacine;19;22;23;24;Aminoglycoside wild-type
3015903904;A. baumanii;Ciprofloxacine;22;28;30;31;Quinolone wild-type
3015903904;A. baumanii;Gentamicine;19;21;23;24;Aminoglycoside wild-type
3015903904;A. baumanii;Imipeneme;28;28;32;32;beta-Lactamase wild-type
3015903904;A. baumanii;Levofloxacine;24;28;30;30;Quinolone wild-type
3015903904;A. baumanii;Meropeneme;22;22;28;29;beta-Lactamase wild-type
3015903904;A. baumanii;Tobramycine;18;21;22;23;Aminoglycoside wild-type
3015903905;A. baumanii;Amikacine;13;13;12;11;Aminoglycoside-non-wild-type
3015903905;A. baumanii;Ciprofloxacine;6;6;6;6;Quinolone-non-wild-type
3015903905;A. baumanii;Gentamicine;12;12;12;12;Aminoglycoside-non-wild-type
3015903905;A. baumanii;Imipeneme;6;6;6;6;beta-Lactamase-non-wild-type
3015903905;A. baumanii;Levofloxacine;12;11;8;6;Quinolone-non-wild-type
3015903905;A. baumanii;Meropeneme;6;6;6;6;beta-Lactamase-non-wild-type
3015903905;A. baumanii;Tobramycine;9;9;6;6;Aminoglycoside-non-wild-type
3015903906;A. baumanii;Amikacine;12;12;11;11;Aminoglycoside-non-wild-type
3015903906;A. baumanii;Ciprofloxacine;6;6;6;6;Quinolone-non-wild-type
3015903906;A. baumanii;Gentamicine;12;12;12;12;Aminoglycoside-non-wild-type
3015903906;A. baumanii;Imipeneme;9;6;6;6;beta-Lactamase-non-wild-type
3015903906;A. baumanii;Levofloxacine;12;12;10;7;Quinolone-non-wild-type
3015903906;A. baumanii;Meropeneme;6;6;6;6;beta-Lactamase-non-wild-type
3015903906;A. baumanii;Tobramycine;9;9;6;6;Aminoglycoside-non-wild-type
3015903907;A. baumanii;Amikacine;19;20;20;21;Aminoglycoside wild-type
3015903907;A. baumanii;Ciprofloxacine;26;28;28;29;Quinolone wild-type
3015903907;A. baumanii;Gentamicine;19;21;21;21;Aminoglycoside wild-type
3015903907;A. baumanii;Imipeneme;29;30;30;30;beta-Lactamase wild-type
3015903907;A. baumanii;Levofloxacine;27;28;28;28;Quinolone wild-type
3015903907;A. baumanii;Meropeneme;25;27;28;28;beta-Lactamase wild-type
3015903907;A. baumanii;Tobramycine;18;19;20;20;Aminoglycoside wild-type
3015903908;A. baumanii;Amikacine;25;25;26;25;Aminoglycoside wild-type
3015903908;A. baumanii;Ciprofloxacine;25;26;27;28;Quinolone wild-type
3015903908;A. baumanii;Gentamicine;22;23;24;24;Aminoglycoside wild-type
3015903908;A. baumanii;Imipeneme;31;31;31;32;beta-Lactamase wild-type
3015903908;A. baumanii;Levofloxacine;26;27;28;28;Quinolone wild-type
3015903908;A. baumanii;Meropeneme;26;28;28;29;beta-Lactamase wild-type
3015903908;A. baumanii;Tobramycine;22;23;24;24;Aminoglycoside wild-type
3015903909;A. baumanii;Amikacine;16;17;17;17;Aminoglycoside-non-wild-type
3015903909;A. baumanii;Ciprofloxacine;20;22;23;23;Quinolone wild-type
3015903909;A. baumanii;Gentamicine;14;14;14;14;Aminoglycoside-non-wild-type
3015903909;A. baumanii;Imipeneme;28;28;29;29;beta-Lactamase wild-type
3015903909;A. baumanii;Levofloxacine;21;24;24;24;Quinolone wild-type
3015903909;A. baumanii;Meropeneme;20;22;23;23;beta-Lactamase wild-type
3015903909;A. baumanii;Tobramycine;15;17;17;17;Aminoglycoside wild-type
3015903910;A. baumanii;Amikacine;18;19;19;19;Aminoglycoside wild-type
3015903910;A. baumanii;Ciprofloxacine;25;26;27;27;Quinolone wild-type
3015903910;A. baumanii;Gentamicine;19;20;20;20;Aminoglycoside wild-type
3015903910;A. baumanii;Imipeneme;27;27;28;28;beta-Lactamase wild-type
3015903910;A. baumanii;Levofloxacine;27;27;28;28;Quinolone wild-type
3015903910;A. baumanii;Meropeneme;23;25;26;26;beta-Lactamase wild-type
3015903910;A. baumanii;Tobramycine;18;19;19;19;Aminoglycoside wild-type
3015903911;A. baumanii;Amikacine;19;21;21;21;Aminoglycoside wild-type
3015903911;A. baumanii;Ciprofloxacine;25;27;28;28;Quinolone wild-type
3015903911;A. baumanii;Gentamicine;19;21;21;21;Aminoglycoside wild-type
3015903911;A. baumanii;Imipeneme;29;30;31;31;beta-Lactamase wild-type
3015903911;A. baumanii;Levofloxacine;25;28;28;28;Quinolone wild-type
3015903911;A. baumanii;Meropeneme;23;26;28;28;beta-Lactamase wild-type
3015903911;A. baumanii;Tobramycine;18;20;20;20;Aminoglycoside wild-type
3015903912;A. baumanii;Amikacine;20;22;23;24;Aminoglycoside wild-type
3015903912;A. baumanii;Ciprofloxacine;24;27;30;30;Quinolone wild-type
3015903912;A. baumanii;Gentamicine;20;22;23;24;Aminoglycoside wild-type
3015903912;A. baumanii;Imipeneme;28;30;33;34;beta-Lactamase wild-type
3015903912;A. baumanii;Levofloxacine;27;29;30;30;Quinolone wild-type
3015903912;A. baumanii;Meropeneme;23;26;29;30;beta-Lactamase wild-type
3015903912;A. baumanii;Tobramycine;19;21;22;23;Aminoglycoside wild-type
3015903913;A. baumanii;Amikacine;20;22;22;22;Aminoglycoside wild-type
3015903913;A. baumanii;Ciprofloxacine;24;27;27;27;Quinolone wild-type
3015903913;A. baumanii;Gentamicine;20;22;22;22;Aminoglycoside wild-type
3015903913;A. baumanii;Imipeneme;29;30;31;32;beta-Lactamase wild-type
3015903913;A. baumanii;Levofloxacine;25;28;28;28;Quinolone wild-type
3015903913;A. baumanii;Meropeneme;23;26;27;28;beta-Lactamase wild-type
3015903913;A. baumanii;Tobramycine;19;21;21;21;Aminoglycoside wild-type
3015903914;A. baumanii;Amikacine;18;22;23;24;Aminoglycoside wild-type
3015903914;A. baumanii;Ciprofloxacine;22;26;27;28;Quinolone wild-type
3015903914;A. baumanii;Gentamicine;18;21;23;24;Aminoglycoside wild-type
3015903914;A. baumanii;Imipeneme;30;31;32;33;beta-Lactamase wild-type
3015903914;A. baumanii;Levofloxacine;24;27;28;28;Quinolone wild-type
3015903914;A. baumanii;Meropeneme;23;25;26;27;beta-Lactamase wild-type
3015903914;A. baumanii;Tobramycine;19;21;23;23;Aminoglycoside wild-type
3015903915;A. baumanii;Amikacine;19;22;23;23;Aminoglycoside wild-type
3015903915;A. baumanii;Ciprofloxacine;24;27;28;29;Quinolone wild-type
3015903915;A. baumanii;Gentamicine;18;20;20;20;Aminoglycoside wild-type
3015903915;A. baumanii;Imipeneme;28;32;33;33;beta-Lactamase wild-type
3015903915;A. baumanii;Levofloxacine;25;28;28;29;Quinolone wild-type
3015903915;A. baumanii;Meropeneme;24;27;27;28;beta-Lactamase wild-type
3015903915;A. baumanii;Tobramycine;19;21;22;22;Aminoglycoside wild-type
3015903916;A. baumanii;Amikacine;19;21;23;24;Aminoglycoside wild-type
3015903916;A. baumanii;Ciprofloxacine;25;26;27;28;Quinolone wild-type
3015903916;A. baumanii;Gentamicine;19;20;22;23;Aminoglycoside wild-type
3015903916;A. baumanii;Imipeneme;29;32;33;33;beta-Lactamase wild-type
3015903916;A. baumanii;Levofloxacine;26;27;28;29;Quinolone wild-type
3015903916;A. baumanii;Meropeneme;25;27;28;29;beta-Lactamase wild-type
3015903916;A. baumanii;Tobramycine;18;20;22;22;Aminoglycoside wild-type
3015903918;A. baumanii;Amikacine;18;21;22;23;Aminoglycoside wild-type
3015903918;A. baumanii;Ciprofloxacine;23;25;28;29;Quinolone wild-type
3015903918;A. baumanii;Gentamicine;18;20;22;22;Aminoglycoside wild-type
3015903918;A. baumanii;Imipeneme;29;30;32;32;beta-Lactamase wild-type
3015903918;A. baumanii;Levofloxacine;24;26;27;28;Quinolone wild-type
3015903918;A. baumanii;Meropeneme;22;24;24;25;beta-Lactamase wild-type
3015903918;A. baumanii;Tobramycine;18;20;21;22;Aminoglycoside wild-type
3015903919;A. baumanii;Amikacine;20;22;24;24;Aminoglycoside wild-type
3015903919;A. baumanii;Ciprofloxacine;25;29;30;30;Quinolone wild-type
3015903919;A. baumanii;Gentamicine;20;22;24;25;Aminoglycoside wild-type
3015903919;A. baumanii;Imipeneme;29;30;33;34;beta-Lactamase wild-type
3015903919;A. baumanii;Levofloxacine;26;29;30;30;Quinolone wild-type
3015903919;A. baumanii;Meropeneme;25;27;30;30;beta-Lactamase wild-type
3015903919;A. baumanii;Tobramycine;19;21;23;24;Aminoglycoside wild-type
3015903920;A. baumanii;Amikacine;20;22;24;25;Aminoglycoside wild-type
3015903920;A. baumanii;Ciprofloxacine;23;27;28;28;Quinolone wild-type
3015903920;A. baumanii;Gentamicine;19;22;23;22;Aminoglycoside wild-type
3015903920;A. baumanii;Imipeneme;28;29;30;30;beta-Lactamase wild-type
3015903920;A. baumanii;Levofloxacine;26;28;29;29;Quinolone wild-type
3015903920;A. baumanii;Meropeneme;25;28;30;30;beta-Lactamase wild-type
3015903920;A. baumanii;Tobramycine;19;21;23;23;Aminoglycoside wild-type
3015903921;A. baumanii;Amikacine;20;23;24;24;Aminoglycoside wild-type
3015903921;A. baumanii;Ciprofloxacine;25;27;29;29;Quinolone wild-type
3015903921;A. baumanii;Gentamicine;19;22;23;24;Aminoglycoside wild-type
3015903921;A. baumanii;Imipeneme;29;30;32;31;beta-Lactamase wild-type
3015903921;A. baumanii;Levofloxacine;25;28;30;30;Quinolone wild-type
3015903921;A. baumanii;Meropeneme;25;27;28;29;beta-Lactamase wild-type
3015903921;A. baumanii;Tobramycine;19;21;22;23;Aminoglycoside wild-type
3015903922;A. baumanii;Amikacine;19;23;24;24;Aminoglycoside wild-type
3015903922;A. baumanii;Ciprofloxacine;26;29;29;30;Quinolone wild-type
3015903922;A. baumanii;Gentamicine;19;22;24;24;Aminoglycoside wild-type
3015903922;A. baumanii;Imipeneme;26;29;31;31;beta-Lactamase wild-type
3015903922;A. baumanii;Levofloxacine;27;29;29;29;Quinolone wild-type
3015903922;A. baumanii;Meropeneme;22;27;28;29;beta-Lactamase wild-type
3015903922;A. baumanii;Tobramycine;19;21;23;23;Aminoglycoside wild-type
3015903923;A. baumanii;Amikacine;20;23;24;24;Aminoglycoside wild-type
3015903923;A. baumanii;Ciprofloxacine;24;27;28;28;Quinolone wild-type
3015903923;A. baumanii;Gentamicine;20;22;23;24;Aminoglycoside wild-type
3015903923;A. baumanii;Imipeneme;29;29;30;31;beta-Lactamase wild-type
3015903923;A. baumanii;Levofloxacine;26;28;29;29;Quinolone wild-type
3015903923;A. baumanii;Meropeneme;23;27;28;28;beta-Lactamase wild-type
3015903923;A. baumanii;Tobramycine;20;22;23;23;Aminoglycoside wild-type
3015903924;A. baumanii;Amikacine;18;21;23;24;Aminoglycoside wild-type
3015903924;A. baumanii;Ciprofloxacine;24;26;28;28;Quinolone wild-type
3015903924;A. baumanii;Gentamicine;18;21;22;23;Aminoglycoside wild-type
3015903924;A. baumanii;Imipeneme;29;32;33;34;beta-Lactamase wild-type
3015903924;A. baumanii;Levofloxacine;25;27;28;29;Quinolone wild-type
3015903924;A. baumanii;Meropeneme;24;26;29;29;beta-Lactamase wild-type
3015903924;A. baumanii;Tobramycine;19;21;23;23;Aminoglycoside wild-type
3015903925;A. baumanii;Amikacine;19;20;20;20;Aminoglycoside wild-type
3015903925;A. baumanii;Ciprofloxacine;20;21;21;21;Quinolone wild-type
3015903925;A. baumanii;Gentamicine;17;18;18;18;Aminoglycoside wild-type
3015903925;A. baumanii;Imipeneme;30;31;31;31;beta-Lactamase wild-type
3015903925;A. baumanii;Levofloxacine;21;22;22;22;Quinolone wild-type
3015903925;A. baumanii;Meropeneme;24;26;27;27;beta-Lactamase wild-type
3015903925;A. baumanii;Tobramycine;19;20;20;20;Aminoglycoside wild-type
3015903926;A. baumanii;Amikacine;21;23;24;24;Aminoglycoside wild-type
3015903926;A. baumanii;Ciprofloxacine;27;30;30;30;Quinolone wild-type
3015903926;A. baumanii;Gentamicine;20;22;23;24;Aminoglycoside wild-type
3015903926;A. baumanii;Imipeneme;29;31;31;31;beta-Lactamase wild-type
3015903926;A. baumanii;Levofloxacine;27;29;30;30;Quinolone wild-type
3015903926;A. baumanii;Meropeneme;26;27;29;30;beta-Lactamase wild-type
3015903926;A. baumanii;Tobramycine;20;22;23;23;Aminoglycoside wild-type
3015903927;A. baumanii;Amikacine;23;24;24;24;Aminoglycoside wild-type
3015903927;A. baumanii;Ciprofloxacine;24;26;27;28;Quinolone wild-type
3015903927;A. baumanii;Gentamicine;22;23;23;23;Aminoglycoside wild-type
3015903927;A. baumanii;Imipeneme;29;30;32;32;beta-Lactamase wild-type
3015903927;A. baumanii;Levofloxacine;26;27;28;28;Quinolone wild-type
3015903927;A. baumanii;Meropeneme;27;28;29;29;beta-Lactamase wild-type
3015903927;A. baumanii;Tobramycine;22;22;23;23;Aminoglycoside wild-type
3015903928;A. baumanii;Amikacine;18;20;21;21;Aminoglycoside wild-type
3015903928;A. baumanii;Ciprofloxacine;24;27;28;28;Quinolone wild-type
3015903928;A. baumanii;Gentamicine;19;20;20;20;Aminoglycoside wild-type
3015903928;A. baumanii;Imipeneme;28;30;31;31;beta-Lactamase wild-type
3015903928;A. baumanii;Levofloxacine;25;27;27;27;Quinolone wild-type
3015903928;A. baumanii;Meropeneme;24;26;27;27;beta-Lactamase wild-type
3015903928;A. baumanii;Tobramycine;19;19;20;20;Aminoglycoside wild-type
3015903929;A. baumanii;Amikacine;19;21;23;23;Aminoglycoside wild-type
3015903929;A. baumanii;Ciprofloxacine;23;25;27;27;Quinolone wild-type
3015903929;A. baumanii;Gentamicine;19;21;23;23;Aminoglycoside wild-type
3015903929;A. baumanii;Imipeneme;27;29;31;33;beta-Lactamase wild-type
3015903929;A. baumanii;Levofloxacine;25;27;27;27;Quinolone wild-type
3015903929;A. baumanii;Meropeneme;23;25;26;26;beta-Lactamase wild-type
3015903929;A. baumanii;Tobramycine;18;21;22;22;Aminoglycoside wild-type
3015903930;A. baumanii;Amikacine;19;22;23;23;Aminoglycoside wild-type
3015903930;A. baumanii;Ciprofloxacine;23;26;27;28;Quinolone wild-type
3015903930;A. baumanii;Gentamicine;19;22;24;24;Aminoglycoside wild-type
3015903930;A. baumanii;Imipeneme;29;31;31;32;beta-Lactamase wild-type
3015903930;A. baumanii;Levofloxacine;24;27;27;27;Quinolone wild-type
3015903930;A. baumanii;Meropeneme;23;26;28;28;beta-Lactamase wild-type
